symbol,name,unlock_date,term,unlock_label,multiple,price_filter,reason
340450,지씨지놈,2025-09-11,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
347850,디앤디파마텍,2024-08-02,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
352090,스톰테크,2024-02-20,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
354320,알멕,2023-09-30,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
355690,에이텀,2024-03-01,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
360350,코셈,2024-05-23,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
365330,에스와이스틸텍,2024-02-13,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
372320,큐로셀,2024-02-09,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
373110,엑셀세라퓨틱스,2024-10-15,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
373160,데이원컴퍼니,2025-04-24,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
373170,엠아이큐브솔루션,2023-11-04,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
376270,HEM파마,2025-02-05,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
376900,로킷헬스케어,2025-06-12,1M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
378340,필에너지,2023-10-14,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
380550,뉴로핏,2025-10-25,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
381620,제닉스로보틱스,2024-12-30,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
382150,온코크로스,2025-03-18,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
387570,파인메딕스,2025-03-26,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
388210,씨엠티엑스,2026-02-20,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
388610,지에프씨생명과학,2025-12-30,6M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
388870,파로스아이바이오,2023-10-27,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
389650,넥스트바이오메디컬,2024-11-20,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
393970,대진첨단소재,2025-06-06,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
394800,쓰리빌리언,2025-02-14,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
396470,워트,2024-01-26,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
402490,그린리소스,2024-02-24,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
403850,더핑크퐁컴퍼니,2026-02-18,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
406820,뷰티스킨,2023-10-24,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
408470,한패스,2026-06-25,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
412540,제일엠앤에스,2024-07-30,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
413390,엠오티,2025-02-18,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
413640,비아이매트릭스,2024-02-09,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
415380,스튜디오삼익,2024-05-06,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
416180,신성에스티,2024-01-19,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
418250,시큐레터,2023-11-24,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
418470,KT밀리의서재,2023-12-27,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
418620,E8,2024-05-23,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
424870,이뮨온시아,2025-08-19,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
424960,스마트레이더시스템,2023-11-22,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
429270,시지트로닉스,2023-11-03,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
430690,한싹,2024-01-04,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
431190,케이쓰리아이,2024-11-20,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
432430,와이랩,2023-10-20,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
432470,케이엔에스,2024-03-06,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
432720,퀄리타스반도체,2024-01-27,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
437730,삼현,2024-06-21,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
438700,버넥트,2023-10-26,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
439580,블루엠텍,2025-12-13,2Y,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
440110,파두,2023-11-07,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
440290,HB인베스트먼트,2024-07-25,6M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
443250,레뷰코퍼레이션,2024-01-06,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
444530,심플랫폼,2025-06-21,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
445090,에이직랜드,2024-02-13,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
445180,퓨릿,2024-01-18,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
445680,큐리옥스바이오시스템즈,2023-11-10,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
446540,메가터치,2024-02-09,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
448280,에코아이,2024-02-21,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
448710,코츠테크놀로지,2023-11-10,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
448900,한국피아이엠,2026-04-04,1Y,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
450330,하스,2024-10-03,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
450520,인스웨이브,2023-12-25,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
450950,아스테라시스,2025-04-24,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
451220,아이엠티,2024-01-10,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
451760,컨텍,2024-02-09,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
452200,민테크,2024-08-03,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
452280,한선엔지니어링,2024-02-24,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
452300,캡스톤파트너스,2024-02-15,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
452400,이닉스,2024-05-01,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
452450,피아이이,2025-05-04,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
453450,그리드위즈,2024-09-14,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
453860,에이에스텍,2024-02-28,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
455900,엔젤로보틱스,2024-06-26,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
456010,아이씨티케이,2024-08-17,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
456070,이엔셀,2024-11-23,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
456160,지투지바이오,2025-11-14,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
457370,한켐,2025-01-22,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
457550,우진엔텍,2024-04-24,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
457600,벡트,2025-03-16,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
458350,에스팀,2026-06-06,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
458870,씨어스테크놀로지,2024-09-19,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
459100,위츠,2025-02-20,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
459510,나우로보틱스,2025-08-08,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
460470,아이빔테크놀로지,2024-11-06,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
460930,현대힘스,2024-07-26,6M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
460940,피앤에스로보틱스,2024-10-31,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
461030,아이엠비디엑스,2024-07-03,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
461300,아이스크림미디어,2025-02-28,6M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
462350,이노스페이스,2024-10-02,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
462510,라메디텍,2024-09-17,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
462860,더즌,2025-06-24,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
462980,아이지넷,2025-05-04,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
463020,뉴엔AI,2025-10-04,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
463480,모티브링크,2025-05-20,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
464080,에스오에스랩,2024-09-25,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
464280,티디에스팜,2024-11-21,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
464490,쿼드메디슨,2026-03-12,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
464500,아이언디바이스,2024-12-23,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
464580,닷밀,2025-02-13,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
465480,인스피언,2025-01-18,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
466100,클로봇,2025-01-28,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
466410,사이냅소프트,2025-02-19,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
468530,프로티나,2025-10-29,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
469610,이노테크,2026-02-07,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
473980,노머스,2025-02-12,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
474170,루미르,2025-01-21,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
474650,링크솔루션,2025-09-10,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
475230,엔알비,2025-10-28,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
475400,씨메스,2025-01-24,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
475430,키스트론,2025-09-02,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
475460,미트박스,2025-04-23,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
475580,에이럭스,2025-02-01,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
475660,에스켐,2025-02-18,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
475830,오름테라퓨틱,2025-05-14,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
475960,토모큐브,2025-02-07,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
476040,오가노이드사이언스,2025-08-09,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
476060,온코닉테라퓨틱스,2025-03-19,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
476080,M83,2024-11-22,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
476830,알지노믹스,2026-03-18,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
478340,나라스페이스테크놀로지,2026-03-17,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
479960,위너스,2025-08-24,6M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
481070,에이유브랜즈,2025-07-03,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
482630,삼양엔씨켐,2025-05-03,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
484120,도우인시스,2025-10-23,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
484590,삼양컴텍,2025-11-18,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
484810,티엑스알로보틱스,2025-06-20,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
486990,노타,2026-02-03,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
488280,에스투더블유,2025-12-19,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
488900,비츠로넥스텍,2026-02-21,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
489460,바이오비쥬,2025-08-20,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
489500,엘케이켐,2025-05-25,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
490470,세미파이브,2026-03-29,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
491000,리브스메드,2026-03-24,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
493280,아이엠바이오로직스,2026-06-20,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
494120,큐리오시스,2026-02-13,3M,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
950250,테라뷰,2026-12-09,1Y,lead_manager_mandatory_hold,2.0,reclaim_open_or_vwap,bars_missing
