stage,rows
kind_corp_list,2768
kind_local_master,2768
price_master_38,899
combined_master,2768
combined_master_ipo_price_notna,638
filtered_master,284
filtered_master_ipo_price_notna,212
synthetic_events,1420
synthetic_events_ipo_price_notna,1060
