name,name_key,symbol,listing_date,ipo_price,market,lead_manager,listed_shares
흥아해운,흥아해운,003280,1976-06-29,,유가,,
농심,농심,004370,1976-06-30,,유가,,
삼영,삼영,003720,1976-06-30,,유가,,
성신양회,성신양회,004980,1976-06-30,,유가,,
신라교역,신라교역,004970,1976-06-30,,유가,,
신풍,신풍,002870,1976-06-30,,유가,,
종근당홀딩스,종근당홀딩스,001630,1976-06-30,,유가,,
크라운해태홀딩스,크라운해태홀딩스,005740,1976-06-30,,유가,,
한독,한독,002390,1976-06-30,,유가,,
한신공영,한신공영,004960,1976-07-07,,유가,,
SNT다이내믹스,snt다이내믹스,003570,1976-07-08,,유가,,
비비안,비비안,002070,1976-07-13,,유가,,
사조대림,사조대림,003960,1976-09-16,,유가,,
금양,금양,001570,1976-12-17,,유가,,
SB성보,sb성보,003080,1976-12-23,,유가,,
삼천리,삼천리,004690,1976-12-23,,유가,,
조흥,조흥,002600,1976-12-23,,유가,,
조광페인트,조광페인트,004910,1976-12-27,,유가,,
남광토건,남광토건,001260,1976-12-28,,유가,,
삼영전자공업,삼영전자공업,005680,1976-12-28,,유가,,
신영와코루,신영와코루,005800,1976-12-28,,유가,,
오리엔트바이오,오리엔트바이오,002630,1976-12-28,,유가,,
조비,조비,001550,1976-12-28,,유가,,
한국공항,한국공항,005430,1976-12-28,,유가,,
대유에이텍,대유에이텍,002880,1977-02-18,,유가,,
KBI동양철관,kbi동양철관,008970,1977-03-05,,유가,,
세방,세방,004360,1977-05-19,,유가,,
조광피혁,조광피혁,004700,1977-05-27,,유가,,
만호제강,만호제강,001080,1977-06-18,,유가,,
대원강업,대원강업,000430,1977-06-22,,유가,,
천일고속,천일고속,000650,1977-06-23,,유가,,
송원산업,송원산업,004430,1977-06-25,,유가,,
진흥기업,진흥기업,002780,1977-06-25,,유가,,
한국석유공업,한국석유공업,004090,1977-06-25,,유가,,
동방아그로,동방아그로,007590,1977-06-29,,유가,,
LS,ls,006260,1977-06-30,,유가,,
SK네트웍스,sk네트웍스,001740,1977-06-30,,유가,,
경농,경농,002100,1977-06-30,,유가,,
티웨이홀딩스,티웨이홀딩스,004870,1977-06-30,,유가,,
현대코퍼레이션,현대코퍼레이션,011760,1977-12-01,,유가,,
한국화장품제조,한국화장품제조,003350,1978-02-06,,유가,,
남선알미늄,남선알미늄,008350,1978-05-22,,유가,,
남양유업,남양유업,003920,1978-06-24,,유가,,
현대약품,현대약품,004310,1978-06-28,,유가,,
시알홀딩스,시알홀딩스,000480,1978-06-30,,유가,,
녹십자홀딩스,녹십자홀딩스,005250,1978-08-28,,유가,,
빙그레,빙그레,005180,1978-08-31,,유가,,
코오롱글로벌,코오롱글로벌,003070,1978-09-15,,유가,,
케이씨티시,케이씨티시,009070,1978-09-29,,유가,,
동부건설,동부건설,005960,1978-10-30,,유가,,
삼성SDI,삼성sdi,006400,1979-02-27,,유가,,
삼성전기,삼성전기,009150,1979-02-27,,유가,,
한국전자홀딩스,한국전자홀딩스,006200,1979-11-30,,유가,,
삼아알미늄,삼아알미늄,006110,1980-12-05,,유가,,
GS건설,gs건설,006360,1981-08-03,,유가,,
아남전자,아남전자,008700,1984-08-11,,유가,,
F&F 홀딩스,ff홀딩스,007700,1984-10-04,,유가,,
에이프로젠바이오로직스,에이프로젠바이오로직스,003060,1984-10-19,,유가,,
TCC스틸,tcc스틸,002710,1984-12-21,,유가,,
현대건설,현대건설,000720,1984-12-22,,유가,,
일성아이에스,일성아이에스,003120,1985-01-14,,유가,,
인스코비,인스코비,006490,1985-01-17,,유가,,
삼일제약,삼일제약,000520,1985-05-29,,유가,,
OCI홀딩스,oci홀딩스,010060,1985-07-09,,유가,,
신세계,신세계,004170,1985-08-19,,유가,,
코리아써키트,코리아써키트,007810,1985-09-09,,유가,,
SH에너지화학,sh에너지화학,002360,1985-12-23,,유가,,
대한화섬,대한화섬,003830,1985-12-23,,유가,,
아이에스동서,아이에스동서,010780,1986-01-27,,유가,,
KG스틸,kg스틸,016380,1986-02-03,,유가,,
일신석재,일신석재,007110,1986-03-04,,유가,,
평화홀딩스,평화홀딩스,010770,1986-03-31,,유가,,
SK증권,sk증권,001510,1986-09-20,,유가,,
삼화전기,삼화전기,009470,1986-11-24,,유가,,
한화투자증권,한화투자증권,003530,1986-11-25,,유가,,
사조오양,사조오양,006090,1986-12-24,,유가,,
현대비앤지스틸,현대비앤지스틸,004560,1987-03-24,,유가,,
써니전자,써니전자,004770,1987-04-22,,유가,,
현대제철,현대제철,004020,1987-05-23,,유가,,
삼화전자공업,삼화전자공업,011230,1987-05-25,,유가,,
S-Oil,soil,010950,1987-05-27,,유가,,
한화에어로스페이스,한화에어로스페이스,012450,1987-05-27,,유가,,
가온전선,가온전선,000500,1987-06-08,,유가,,
코스모화학,코스모화학,005420,1987-07-23,,유가,,
한신기계공업,한신기계공업,011700,1987-07-24,,유가,,
신영증권,신영증권,001720,1987-08-24,,유가,,
유진증권,유진증권,001200,1987-08-24,,유가,,
유화증권,유화증권,003460,1987-08-24,,유가,,
덕성,덕성,004830,1987-09-25,,유가,,
코스모신소재,코스모신소재,005070,1987-09-28,,유가,,
한국무브넥스,한국무브넥스,010100,1987-10-02,,유가,,
참엔지니어링,참엔지니어링,009310,1987-11-12,,유가,,
진원생명과학,진원생명과학,011000,1987-11-16,,유가,,
삼성공조,삼성공조,006660,1987-11-28,,유가,,
세방전지,세방전지,004490,1987-11-28,,유가,,
넥센,넥센,005720,1987-12-19,,유가,,
한창제지,한창제지,009460,1987-12-23,,유가,,
에이엔피,에이엔피,015260,1988-01-18,,유가,,
제일파마홀딩스,제일파마홀딩스,002620,1988-01-20,,유가,,
유안타증권,유안타증권,003470,1988-01-21,,유가,,
금호석유화학,금호석유화학,011780,1988-01-22,,유가,,
한양증권,한양증권,001750,1988-03-04,,유가,,
삼성증권,삼성증권,016360,1988-03-28,,유가,,
삼영무역,삼영무역,002810,1988-03-28,,유가,,
이수화학,이수화학,005950,1988-04-28,,유가,,
대원전선,대원전선,006340,1988-05-04,,유가,,
동국홀딩스,동국홀딩스,001230,1988-05-09,,유가,,
파미셀,파미셀,005690,1988-05-20,,유가,,
범양건영,범양건영,002410,1988-05-25,,유가,,
POSCO홀딩스,posco홀딩스,005490,1988-06-10,,유가,,
삼진제약,삼진제약,005500,1988-06-18,,유가,,
한미사이언스,한미사이언스,008930,1988-06-20,,유가,,
DB증권,db증권,016610,1988-06-27,,유가,,
계양전기,계양전기,012200,1988-07-06,,유가,,
한솔테크닉스,한솔테크닉스,004710,1988-07-06,,유가,,
부국증권,부국증권,001270,1988-07-19,,유가,,
풍산홀딩스,풍산홀딩스,005810,1988-07-28,,유가,,
부광약품,부광약품,003000,1988-08-05,,유가,,
동방,동방,004140,1988-08-10,,유가,,
한국쉘석유,한국쉘석유,002960,1988-08-10,,유가,,
신원,신원,009270,1988-08-24,,유가,,
율촌화학,율촌화학,008730,1988-08-30,,유가,,
플레이그램,플레이그램,009810,1988-08-31,,유가,,
금강공업,금강공업,014280,1988-09-10,,유가,,
혜인,혜인,003010,1988-09-20,,유가,,
보해양조,보해양조,000890,1988-09-23,,유가,,
상상인증권,상상인증권,001290,1988-09-23,,유가,,
DN오토모티브,dn오토모티브,007340,1988-09-24,,유가,,
HS화성,hs화성,002460,1988-09-29,,유가,,
삼익악기,삼익악기,002450,1988-09-30,,유가,,
한일철강,한일철강,002220,1988-10-07,,유가,,
대구백화점,대구백화점,006370,1988-10-10,,유가,,
우성,우성,006980,1988-10-10,,유가,,
유성기업,유성기업,002920,1988-10-10,,유가,,
모나리자,모나리자,012690,1988-10-14,,유가,,
이건산업,이건산업,008250,1988-10-21,,유가,,
보령,보령,003850,1988-10-24,,유가,,
더존비즈온,더존비즈온,012510,1988-10-28,,유가,,
영원무역홀딩스,영원무역홀딩스,009970,1988-11-07,,유가,,
에스엘,에스엘,005850,1988-11-08,,유가,,
조일알미늄,조일알미늄,018470,1988-11-22,,유가,,
SHD,shd,001770,1988-11-23,,유가,,
CJ씨푸드,cj씨푸드,011150,1988-11-26,,유가,,
화천기계,화천기계,010660,1988-12-12,,유가,,
아세아제지,아세아제지,002310,1988-12-15,,유가,,
태림포장,태림포장,011280,1988-12-20,,유가,,
이스타코,이스타코,015020,1988-12-23,,유가,,
모헨즈,모헨즈,006920,1989-01-05,,코스닥,,
대덕,대덕,008060,1989-01-26,,유가,,
한성기업,한성기업,003680,1989-01-26,,유가,,
동원산업,동원산업,006040,1989-03-07,,유가,,
플루토스,플루토스,019570,1989-03-14,,코스닥,,
퍼스텍,퍼스텍,010820,1989-05-10,,유가,,
한솔케미칼,한솔케미칼,014680,1989-05-20,,유가,,
DKME,dkme,015590,1989-05-27,,유가,,
디와이,디와이,013570,1989-05-30,,유가,,
방림,방림,003610,1989-05-30,,유가,,
경인전자,경인전자,009140,1989-06-20,,유가,,
무림P&P,무림pp,009580,1989-06-20,,유가,,
인디에프,인디에프,014990,1989-06-20,,유가,,
사조동아원,사조동아원,008040,1989-06-24,,유가,,
대창단조,대창단조,015230,1989-07-25,,유가,,
사조산업,사조산업,007160,1989-07-25,,유가,,
한익스프레스,한익스프레스,014130,1989-07-25,,유가,,
윌비스,윌비스,008600,1989-07-28,,유가,,
SIMPAC,simpac,009160,1989-07-29,,유가,,
녹십자,녹십자,006280,1989-08-01,,유가,,
국도화학,국도화학,007690,1989-08-05,,유가,,
한국전력공사,한국전력공사,015760,1989-08-10,,유가,,
현대지에프홀딩스,현대지에프홀딩스,005440,1989-08-22,,유가,,
KG케미칼,kg케미칼,001390,1989-08-25,,유가,,
아진전자부품,아진전자부품,009320,1989-08-25,,유가,,
현대해상,현대해상,001450,1989-08-25,,유가,,
세우글로벌,세우글로벌,013000,1989-09-05,,유가,,
현대모비스,현대모비스,012330,1989-09-05,,유가,,
SBI인베스트먼트,sbi인베스트먼트,019550,1989-09-06,,코스닥,,
서연,서연,007860,1989-09-09,,유가,,
미원상사,미원상사,002840,1989-09-25,,유가,,
삼익THK,삼익thk,004380,1989-09-26,,유가,,
미창석유공업,미창석유공업,003650,1989-09-27,,유가,,
진양폴리우레탄,진양폴리우레탄,010640,1989-09-30,,유가,,
SK텔레콤,sk텔레콤,017670,1989-11-07,,유가,,
삼양통상,삼양통상,002170,1989-11-10,,유가,,
KISCO홀딩스,kisco홀딩스,001940,1989-11-13,,유가,,
태영건설,태영건설,009410,1989-11-13,,유가,,
한국특강,한국특강,007280,1989-11-13,,유가,,
한솔로지스틱스,한솔로지스틱스,009180,1989-11-13,,유가,,
갤럭시아에스엠,갤럭시아에스엠,011420,1989-11-14,,유가,,
남성,남성,004270,1989-11-14,,유가,,
광동제약,광동제약,009290,1989-11-17,,유가,,
까뮤이앤씨,까뮤이앤씨,013700,1989-11-30,,유가,,
보락,보락,002760,1989-11-30,,유가,,
선도전기,선도전기,007610,1989-11-30,,유가,,
씨아이테크,씨아이테크,004920,1989-11-30,,유가,,
일성건설,일성건설,013360,1989-12-02,,유가,,
대창,대창,012800,1989-12-05,,유가,,
유니켐,유니켐,011330,1989-12-14,,유가,,
하이록코리아,하이록코리아,013030,1989-12-15,,코스닥,,
한올바이오파마,한올바이오파마,009420,1989-12-18,,유가,,
아센디오,아센디오,012170,1989-12-20,,유가,,
카스,카스,016920,1990-01-04,,코스닥,,
