year,strategy_name,term,entry_mode,hold_days_after_entry,trades,win_rate,avg_ret,median_ret,sum_ret,compound_ret,min_ret,max_ret
2023,15D_close_midhold,15D,close,5,12,0.25,-0.10768939412222035,-0.13827071802799973,-1.2922727294666443,-0.7682041680797786,-0.2552879568064792,0.15719269880813092
2023,1M_close_midhold,1M,close,21,8,0.375,-0.08402153773472586,-0.196196679730135,-0.6721723018778069,-0.6917717952285141,-0.4234355954741834,0.7361473521250832
2023,3M_close_midhold,3M,close,32,1,1.0,0.28705349254544155,0.28705349254544155,0.28705349254544155,0.28705349254544155,0.28705349254544155,0.28705349254544155
2024,15D_close_midhold,15D,close,5,15,0.3333333333333333,-0.058186302328657374,-0.08174616400132573,-0.8727945349298606,-0.6187464932508699,-0.24442658902369463,0.07521398713269933
2024,1M_close_midhold,1M,close,21,12,0.25,-0.11276906794151591,-0.11662973433491064,-1.3532288152981908,-0.8114434607365508,-0.3845309805064481,0.18050879324623037
2024,1Y_close_midhold,1Y,close,126,6,0.16666666666666666,-0.19670254140624843,-0.1993526715942105,-1.1802152484374906,-0.7740949279842735,-0.48822915864422145,0.08007078159055347
2024,3M_close_midhold,3M,close,32,12,0.4166666666666667,-0.027177238230138855,-0.0460336916657072,-0.32612685876166625,-0.4891958730236523,-0.36659855499287053,0.3835017373293286
2024,6M_close_midhold,6M,close,63,15,0.26666666666666666,-0.07506519612786458,-0.1538398963992612,-1.1259779419179687,-0.8968506913756522,-0.49093166884198325,1.0961707324471877
2025,15D_close_midhold,15D,close,5,31,0.45161290322580644,-0.006874639898156524,-0.036347340039635245,-0.21311383684285223,-0.45909480596454433,-0.33094729954367685,0.3839599513120808
2025,1M_close_midhold,1M,close,21,25,0.44,0.0016486705742452168,-0.012728578518100386,0.04121676435613042,-0.4100752620200643,-0.33563271960818786,0.7112324003790285
2025,1Y_close_midhold,1Y,close,126,8,1.0,0.39680539681221183,0.2745366126253428,3.1744431744976946,9.978472845974549,0.06831797371954984,1.410388701660089
2025,3M_close_midhold,3M,close,32,22,0.5454545454545454,0.0962413036117389,0.026056188724939977,2.117308679458256,2.020860440105975,-0.42127528378074675,0.8180770330824225
2025,6M_close_midhold,6M,close,63,19,0.5263157894736842,0.17411949451814973,0.011621745110326431,3.3082703958448447,5.496942362302662,-0.31074049830025496,1.6160316458860282
2026,15D_close_midhold,15D,close,5,2,1.0,0.1914594126483864,0.1914594126483864,0.3829188252967728,0.40992550191569355,0.09322484606032488,0.2896939792364479
2026,1M_close_midhold,1M,close,21,2,0.5,0.16842273173668992,0.16842273173668992,0.33684546347337985,0.24918030873347652,-0.17221104713080926,0.5090565106041891
