year,strategy_name,term,entry_mode,hold_days_after_entry,trades,win_rate,avg_ret,median_ret,sum_ret,compound_ret,min_ret,max_ret
2023,15D_close_midhold,15D,close,5,22,0.3181818181818182,-0.04056550891859568,-0.09348273176379646,-0.892441196209105,-0.7134033460024849,-0.2552879568064792,0.5619613007676192
2023,1M_close_midhold,1M,close,21,19,0.42105263157894735,-0.014761341128127629,-0.0309589109209919,-0.28046548143442496,-0.618685134152982,-0.4234355954741834,0.7361473521250832
2023,3M_close_midhold,3M,close,32,2,0.5,0.05332898267678654,0.05332898267678654,0.10665796535357308,0.05487479923357097,-0.18039552719186847,0.28705349254544155
2024,15D_close_midhold,15D,close,5,20,0.3,-0.06909678884137935,-0.08269953689686066,-1.381935776827587,-0.7810855452628767,-0.24442658902369463,0.07521398713269933
2024,1M_close_midhold,1M,close,21,20,0.15,-0.1582911605942857,-0.1796374531844946,-3.165823211885714,-0.9765522938862043,-0.3845309805064481,0.18050879324623037
2024,1Y_close_midhold,1Y,close,126,10,0.2,-0.1630148921833716,-0.17215518116946504,-1.630148921833716,-0.8643545667453021,-0.48822915864422145,0.08007078159055347
2024,3M_close_midhold,3M,close,32,18,0.3888888888888889,-0.028275317266443396,-0.0460336916657072,-0.5089557107959811,-0.6267220674968007,-0.36659855499287053,0.3835017373293286
2024,6M_close_midhold,6M,close,63,19,0.2631578947368421,-0.08145477380000568,-0.15758770467237648,-1.547640702200108,-0.9458055134289679,-0.49093166884198325,1.0961707324471877
2025,15D_close_midhold,15D,close,5,38,0.42105263157894735,-0.006096090415664034,-0.05095799154716968,-0.23165143579523328,-0.515542208323261,-0.33094729954367685,0.3839599513120808
2025,1M_close_midhold,1M,close,21,31,0.45161290322580644,0.010591729203051826,-0.012728578518100386,0.3283436052946066,-0.2459047608998941,-0.33563271960818786,0.7112324003790285
2025,1Y_close_midhold,1Y,close,126,11,0.9090909090909091,0.7175847914217609,0.25433424870662447,7.89343270563937,60.631171952646326,-0.06598265579312046,4.737386824739125
2025,3M_close_midhold,3M,close,32,34,0.5588235294117647,0.061968645480191896,0.018131905948448934,2.1069339463265244,1.1236518084373546,-0.42127528378074675,0.8180770330824225
2025,6M_close_midhold,6M,close,63,32,0.46875,0.13639022480608337,-0.03682763706944381,4.364487193794668,8.956724032167834,-0.3303519555023007,1.6160316458860282
2026,15D_close_midhold,15D,close,5,2,1.0,0.1914594126483864,0.1914594126483864,0.3829188252967728,0.40992550191569355,0.09322484606032488,0.2896939792364479
2026,1M_close_midhold,1M,close,21,5,0.4,0.017486804248902855,-0.12835582008438218,0.08743402124451427,-0.06533083458897293,-0.21609258611208326,0.5090565106041891
