strategy_name,term,entry_mode,symbol,name,listing_date,unlock_date,entry_dt,entry_price,exit_dt,exit_price,hold_days_after_entry,ipo_price,ipo_price_source,prev_close_vs_ipo,prev_close_date,entry_price_vs_ipo,gross_ret,net_ret
15D_close_midhold,15D,close,354320,알멕,2023-06-30,2023-07-15,2023-07-17,112000.0,2023-07-24,99800.0,5,50000.0,kind,2.434,2023-07-14,2.24,-0.10892857142857137,-0.11097772834074893
15D_close_midhold,15D,close,424960,스마트레이더시스템,2023-08-22,2023-09-06,2023-09-06,26000.0,2023-09-13,22200.0,5,8000.0,kind,3.2,2023-09-05,3.25,-0.1461538461538462,-0.14811739777494914
15D_close_midhold,15D,close,418250,시큐레터,2023-08-24,2023-09-08,2023-09-08,28550.0,2023-09-15,29550.0,5,12000.0,kind,2.5708333333333333,2023-09-07,2.379166666666667,0.035026269702276736,0.03264606631246991
15D_close_midhold,15D,close,445090,에이직랜드,2023-11-13,2023-11-28,2023-11-28,56000.0,2023-12-05,41800.0,5,25000.0,kind,2.176,2023-11-27,2.24,-0.25357142857142856,-0.2552879568064792
15D_close_midhold,15D,close,450080,에코프로머티,2023-11-17,2023-12-02,2023-12-04,137500.0,2023-12-11,140200.0,5,36200.0,kind,3.7679558011049723,2023-12-01,3.798342541436464,0.019636363636363674,0.017291551721787313
15D_close_midhold,15D,close,417200,LS머트리얼즈,2023-12-12,2023-12-27,2023-12-27,42850.0,2024-01-05,49700.0,5,6000.0,kind,7.05,2023-12-26,7.141666666666667,0.15985997666277707,0.15719269880813092
15D_close_midhold,15D,close,457550,우진엔텍,2024-01-24,2024-02-08,2024-02-08,31750.0,2024-02-19,26900.0,5,5300.0,kind,6.584905660377358,2024-02-07,5.990566037735849,-0.15275590551181106,-0.1547042746737597
15D_close_midhold,15D,close,460930,현대힘스,2024-01-26,2024-02-10,2024-02-13,19990.0,2024-02-20,18360.0,5,7300.0,kind,2.73972602739726,2024-02-08,2.7383561643835614,-0.08154077038519258,-0.08365290979239559
15D_close_midhold,15D,close,452400,이닉스,2024-02-01,2024-02-16,2024-02-16,29050.0,2024-02-23,22000.0,5,14000.0,kind,2.2285714285714286,2024-02-15,2.075,-0.2426850258175559,-0.24442658902369463
15D_close_midhold,15D,close,455900,엔젤로보틱스,2024-03-26,2024-04-10,2024-04-11,50600.0,2024-04-18,51500.0,5,20000.0,kind,2.56,2024-04-09,2.53,0.01778656126482203,0.015446003257614027
15D_close_midhold,15D,close,464280,티디에스팜,2024-08-21,2024-09-05,2024-09-05,33050.0,2024-09-12,32800.0,5,13000.0,kind,2.8153846153846156,2024-09-04,2.542307692307692,-0.0075642965204235635,-0.009846556299459852
15D_close_midhold,15D,close,452450,피아이이,2025-02-04,2025-02-19,2025-02-19,13450.0,2025-02-26,10140.0,5,5000.0,kind,2.554,2025-02-18,2.69,-0.24609665427509297,-0.2478303719126147
15D_close_midhold,15D,close,098070,한텍,2025-03-20,2025-04-04,2025-04-04,30350.0,2025-04-11,42100.0,5,10800.0,kind,3.0694444444444446,2025-04-03,2.810185185185185,0.38714991762767714,0.3839599513120808
15D_close_midhold,15D,close,459510,나우로보틱스,2025-05-08,2025-05-23,2025-05-23,27150.0,2025-05-30,28850.0,5,6800.0,kind,4.235294117647059,2025-05-22,3.9926470588235294,0.0626151012891345,0.06017145310339722
15D_close_midhold,15D,close,489460,바이오비쥬,2025-05-20,2025-06-04,2025-06-04,19350.0,2025-06-12,17780.0,5,9100.0,kind,2.1417582417582417,2025-06-02,2.1263736263736264,-0.08113695090439277,-0.08325001895710471
15D_close_midhold,15D,close,483650,달바글로벌,2025-05-22,2025-06-06,2025-06-09,144900.0,2025-06-16,162600.0,5,66300.0,kind,2.1131221719457014,2025-06-05,2.18552036199095,0.12215320910973082,0.11957264381357291
15D_close_midhold,15D,close,287840,인투셀,2025-05-23,2025-06-07,2025-06-09,37750.0,2025-06-16,37900.0,5,17000.0,kind,2.2205882352941178,2025-06-05,2.2205882352941178,0.003973509933774766,0.0016647171798400695
15D_close_midhold,15D,close,463020,뉴엔AI,2025-07-04,2025-07-19,2025-07-21,36650.0,2025-07-28,33500.0,5,15000.0,kind,2.4766666666666666,2025-07-18,2.4433333333333334,-0.08594815825375168,-0.08805016218917794
15D_close_midhold,15D,close,234030,싸이닉솔루션,2025-07-07,2025-07-22,2025-07-22,11000.0,2025-07-29,9980.0,5,4700.0,kind,2.5425531914893615,2025-07-21,2.3404255319148937,-0.09272727272727277,-0.09481368703785353
15D_close_midhold,15D,close,484590,삼양컴텍,2025-08-18,2025-09-02,2025-09-02,18670.0,2025-09-09,18810.0,5,7700.0,kind,2.4857142857142858,2025-09-01,2.4246753246753245,0.007498660953401126,0.005181761568116006
15D_close_midhold,15D,close,488280,에스투더블유,2025-09-19,2025-10-04,2025-10-10,24650.0,2025-10-17,20500.0,5,13200.0,kind,2.106060606060606,2025-10-02,1.8674242424242424,-0.16835699797160242,-0.17026949000246316
15D_close_midhold,15D,close,486990,노타,2025-11-03,2025-11-18,2025-11-18,30350.0,2025-11-25,38650.0,5,9100.0,kind,3.978021978021978,2025-11-17,3.3351648351648353,0.27347611202635913,0.2705475562520647
15D_close_midhold,15D,close,469610,이노테크,2025-11-07,2025-11-22,2025-11-24,27800.0,2025-12-01,37500.0,5,14700.0,kind,2.306122448979592,2025-11-21,1.8911564625850341,0.34892086330935257,0.34581881063164266
15D_close_midhold,15D,close,494120,큐리오시스,2025-11-13,2025-11-28,2025-11-28,67200.0,2025-12-05,71500.0,5,22000.0,kind,3.081818181818182,2025-11-27,3.0545454545454547,0.06398809523809534,0.06154128963988725
