signal_name,term,unlock_type,multiple,price_filter,hold_days_after_entry,trades,win_rate,avg_ret,median_ret,sum_ret,compound_ret,min_ret,max_ret
inst_15d_1.0x_reclaim_open_or_vwap,15D,inst_15d,1.0,reclaim_open_or_vwap,5,1,1.0,0.0456187845303867,0.0456187845303867,0.0456187845303867,0.04561878453038659,0.0456187845303867,0.0456187845303867
inst_15d_2.0x_reclaim_open_or_vwap,15D,inst_15d,2.0,reclaim_open_or_vwap,5,1,0.0,-0.026887079261672105,-0.026887079261672105,-0.026887079261672105,-0.02688707926167211,-0.026887079261672105,-0.026887079261672105
inst_1m_1.0x_reclaim_open,1M,inst_1m,1.0,reclaim_open,15,1,0.0,-0.02151851851851849,-0.02151851851851849,-0.02151851851851849,-0.021518518518518492,-0.02151851851851849,-0.02151851851851849
inst_1m_1.0x_reclaim_open_or_vwap,1M,inst_1m,1.0,reclaim_open_or_vwap,15,1,1.0,0.04872413793103447,0.04872413793103447,0.04872413793103447,0.04872413793103458,0.04872413793103447,0.04872413793103447
inst_6m_1.0x_range_top40,6M,inst_6m,1.0,range_top40,30,1,0.0,-0.03226078028747437,-0.03226078028747437,-0.03226078028747437,-0.03226078028747437,-0.03226078028747437,-0.03226078028747437
