strategy_name,term,entry_mode,symbol,name,listing_date,unlock_date,reason,query_start,query_end,prev_close_vs_ipo,threshold,daily_rows,daily_min,daily_max,target_entry_date,entry_idx,exit_idx
15D_close_midhold,15D,close,232830,아이티센피엔에스,2023-06-29,2023-07-14,ipo_price_missing_for_prev_filter,20230624,20230823,,,,,,,,
15D_close_midhold,15D,close,440320,오픈놀,2023-06-30,2023-07-15,prev_close_vs_ipo_below_min,20230625,20230824,1.315,2.0,,,,,,
15D_close_midhold,15D,close,274400,이노시뮬레이션,2023-07-06,2023-07-21,prev_close_vs_ipo_below_min,20230701,20230830,1.2613333333333334,2.0,,,,,,
15D_close_midhold,15D,close,378340,필에너지,2023-07-14,2023-07-29,prev_close_vs_ipo_below_min,20230709,20230907,0.9514705882352941,2.0,,,,,,
15D_close_midhold,15D,close,321370,센서뷰,2023-07-19,2023-08-03,prev_close_vs_ipo_below_min,20230714,20230912,0.8502222222222222,2.0,,,,,,
15D_close_midhold,15D,close,456570,아이엠지티,2023-07-19,2023-08-03,ipo_price_missing_for_prev_filter,20230714,20230912,,,,,,,,
15D_close_midhold,15D,close,432430,와이랩,2023-07-20,2023-08-04,prev_close_vs_ipo_below_min,20230715,20230913,0.9455555555555556,2.0,,,,,,
15D_close_midhold,15D,close,406820,뷰티스킨,2023-07-24,2023-08-08,prev_close_vs_ipo_below_min,20230719,20230917,0.23761538461538462,2.0,,,,,,
15D_close_midhold,15D,close,438700,버넥트,2023-07-26,2023-08-10,prev_close_vs_ipo_below_min,20230721,20230919,0.723125,2.0,,,,,,
15D_close_midhold,15D,close,172670,에이엘티,2023-07-27,2023-08-11,prev_close_vs_ipo_below_min,20230722,20230920,0.852,2.0,,,,,,
15D_close_midhold,15D,close,388870,파로스아이바이오,2023-07-27,2023-08-11,prev_close_vs_ipo_below_min,20230722,20230920,1.04,2.0,,,,,,
15D_close_midhold,15D,close,462520,조선내화,2023-07-28,2023-08-12,ipo_price_missing_for_prev_filter,20230723,20230921,,,,,,,,
15D_close_midhold,15D,close,446440,에피바이오텍,2023-07-31,2023-08-15,ipo_price_missing_for_prev_filter,20230726,20230924,,,,,,,,
15D_close_midhold,15D,close,429270,시지트로닉스,2023-08-03,2023-08-18,prev_close_vs_ipo_below_min,20230729,20230927,0.73108,2.0,,,,,,
15D_close_midhold,15D,close,373170,엠아이큐브솔루션,2023-08-04,2023-08-19,prev_close_vs_ipo_below_min,20230730,20230928,0.92425,2.0,,,,,,
15D_close_midhold,15D,close,440110,파두,2023-08-07,2023-08-22,prev_close_vs_ipo_below_min,20230802,20231001,1.3516129032258064,2.0,,,,,,
15D_close_midhold,15D,close,030190,NICE평가정보,2023-08-08,2023-08-23,ipo_price_missing_for_prev_filter,20230803,20231002,,,,,,,,
15D_close_midhold,15D,close,448710,코츠테크놀로지,2023-08-10,2023-08-25,prev_close_vs_ipo_below_min,20230805,20231004,1.4423076923076923,2.0,,,,,,
15D_close_midhold,15D,close,445680,큐리옥스바이오시스템즈,2023-08-10,2023-08-25,prev_close_vs_ipo_below_min,20230805,20231004,1.3946153846153846,2.0,,,,,,
15D_close_midhold,15D,close,210120,캔버스엔,2023-08-17,2023-09-01,ipo_price_missing_for_prev_filter,20230812,20231011,,,,,,,,
15D_close_midhold,15D,close,092790,넥스틸,2023-08-21,2023-09-05,prev_close_vs_ipo_below_min,20230816,20231015,0.8034782608695652,2.0,,,,,,
15D_close_midhold,15D,close,355390,크라우드웍스,2023-08-31,2023-09-15,ipo_price_missing_for_prev_filter,20230826,20231025,,,,,,,,
15D_close_midhold,15D,close,146060,율촌,2023-09-08,2023-09-23,ipo_price_missing_for_prev_filter,20230903,20231102,,,,,,,,
15D_close_midhold,15D,close,465770,STX그린로지스,2023-09-15,2023-09-30,ipo_price_missing_for_prev_filter,20230910,20231109,,,,,,,,
15D_close_midhold,15D,close,384470,코어라인소프트,2023-09-18,2023-10-03,ipo_price_missing_for_prev_filter,20230913,20231112,,,,,,,,
15D_close_midhold,15D,close,403490,우듬지팜,2023-09-19,2023-10-04,ipo_price_missing_for_prev_filter,20230914,20231113,,,,,,,,
15D_close_midhold,15D,close,450520,인스웨이브,2023-09-25,2023-10-10,ipo_price_missing_for_prev_filter,20230920,20231119,,,,,,,,
15D_close_midhold,15D,close,418470,KT밀리의서재,2023-09-27,2023-10-12,ipo_price_missing_for_prev_filter,20230922,20231121,,,,,,,,
15D_close_midhold,15D,close,430690,한싹,2023-10-04,2023-10-19,prev_close_vs_ipo_below_min,20230929,20231128,0.86048,2.0,,,,,,
15D_close_midhold,15D,close,454910,두산로보틱스,2023-10-05,2023-10-20,prev_close_vs_ipo_below_min,20230930,20231129,1.4711538461538463,2.0,,,,,,
15D_close_midhold,15D,close,443250,레뷰코퍼레이션,2023-10-06,2023-10-21,prev_close_vs_ipo_below_min,20231001,20231130,0.9353333333333333,2.0,,,,,,
15D_close_midhold,15D,close,451220,아이엠티,2023-10-10,2023-10-25,prev_close_vs_ipo_below_min,20231005,20231204,1.8142857142857143,2.0,,,,,,
15D_close_midhold,15D,close,289170,바이오텐,2023-10-13,2023-10-28,ipo_price_missing_for_prev_filter,20231008,20231207,,,,,,,,
15D_close_midhold,15D,close,445180,퓨릿,2023-10-18,2023-11-02,prev_close_vs_ipo_below_min,20231013,20231212,1.1009345794392524,2.0,,,,,,
15D_close_midhold,15D,close,416180,신성에스티,2023-10-19,2023-11-03,prev_close_vs_ipo_below_min,20231014,20231213,1.0326923076923078,2.0,,,,,,
15D_close_midhold,15D,close,246250,에스엘에스바이오,2023-10-20,2023-11-04,prev_close_vs_ipo_below_min,20231015,20231214,0.3252857142857143,2.0,,,,,,
15D_close_midhold,15D,close,351020,미쥬,2023-10-26,2023-11-10,ipo_price_missing_for_prev_filter,20231021,20231220,,,,,,,,
15D_close_midhold,15D,close,396470,워트,2023-10-26,2023-11-10,prev_close_vs_ipo_below_min,20231021,20231220,1.66,2.0,,,,,,
15D_close_midhold,15D,close,432720,퀄리타스반도체,2023-10-27,2023-11-11,prev_close_vs_ipo_below_min,20231022,20231221,1.0111764705882353,2.0,,,,,,
15D_close_midhold,15D,close,240600,유진테크놀로지,2023-11-02,2023-11-17,prev_close_vs_ipo_below_min,20231028,20231227,0.8494117647058823,2.0,,,,,,
15D_close_midhold,15D,close,221800,유투바이오,2023-11-02,2023-11-17,prev_close_vs_ipo_below_min,20231028,20231227,1.2545454545454546,2.0,,,,,,
15D_close_midhold,15D,close,188260,세니젠,2023-11-03,2023-11-18,ipo_price_missing_for_prev_filter,20231029,20231228,,,,,,,,
15D_close_midhold,15D,close,290560,파라택시스이더리움,2023-11-03,2023-11-18,ipo_price_missing_for_prev_filter,20231029,20231228,,,,,,,,
15D_close_midhold,15D,close,088280,쏘닉스,2023-11-07,2023-11-22,prev_close_vs_ipo_below_min,20231102,20240101,0.7746666666666666,2.0,,,,,,
15D_close_midhold,15D,close,446540,메가터치,2023-11-09,2023-11-24,prev_close_vs_ipo_below_min,20231104,20240103,1.0875,2.0,,,,,,
15D_close_midhold,15D,close,413640,비아이매트릭스,2023-11-09,2023-11-24,prev_close_vs_ipo_below_min,20231104,20240103,0.936923076923077,2.0,,,,,,
15D_close_midhold,15D,close,451760,컨텍,2023-11-09,2023-11-24,prev_close_vs_ipo_below_min,20231104,20240103,0.7391111111111112,2.0,,,,,,
15D_close_midhold,15D,close,372320,큐로셀,2023-11-09,2023-11-24,prev_close_vs_ipo_below_min,20231104,20240103,1.5875,2.0,,,,,,
15D_close_midhold,15D,close,365330,에스와이스틸텍,2023-11-13,2023-11-28,prev_close_vs_ipo_below_min,20231108,20240107,1.8077777777777777,2.0,,,,,,
15D_close_midhold,15D,close,452300,캡스톤파트너스,2023-11-15,2023-11-30,prev_close_vs_ipo_below_min,20231110,20240109,1.3375,2.0,,,,,,
15D_close_midhold,15D,close,296160,프로젠,2023-11-15,2023-11-30,ipo_price_missing_for_prev_filter,20231110,20240109,,,,,,,,
15D_close_midhold,15D,close,352090,스톰테크,2023-11-20,2023-12-05,prev_close_vs_ipo_below_min,20231115,20240114,0.5422727272727272,2.0,,,,,,
15D_close_midhold,15D,close,111380,동인기연,2023-11-21,2023-12-06,prev_close_vs_ipo_below_min,20231116,20240115,0.7533333333333333,2.0,,,,,,
15D_close_midhold,15D,close,448280,에코아이,2023-11-21,2023-12-06,prev_close_vs_ipo_below_min,20231116,20240115,0.4197694524495677,2.0,,,,,,
15D_close_midhold,15D,close,402490,그린리소스,2023-11-24,2023-12-09,prev_close_vs_ipo_below_min,20231119,20240118,1.016764705882353,2.0,,,,,,
15D_close_midhold,15D,close,452160,제이엔비,2023-11-24,2023-12-09,ipo_price_missing_for_prev_filter,20231119,20240118,,,,,,,,
15D_close_midhold,15D,close,452280,한선엔지니어링,2023-11-24,2023-12-09,prev_close_vs_ipo_below_min,20231119,20240118,1.542857142857143,2.0,,,,,,
15D_close_midhold,15D,close,453860,에이에스텍,2023-11-28,2023-12-13,prev_close_vs_ipo_below_min,20231123,20240122,1.3482142857142858,2.0,,,,,,
15D_close_midhold,15D,close,355690,에이텀,2023-12-01,2023-12-16,prev_close_vs_ipo_below_min,20231126,20240125,0.7733333333333333,2.0,,,,,,
15D_close_midhold,15D,close,338840,와이바이오로직스,2023-12-05,2023-12-20,prev_close_vs_ipo_below_min,20231130,20240129,1.451111111111111,2.0,,,,,,
15D_close_midhold,15D,close,432470,케이엔에스,2023-12-06,2023-12-21,prev_close_vs_ipo_below_min,20231201,20240130,1.708695652173913,2.0,,,,,,
15D_close_midhold,15D,close,439580,블루엠텍,2023-12-13,2023-12-28,prev_close_vs_ipo_below_min,20231208,20240206,0.4730526315789474,2.0,,,,,,
15D_close_midhold,15D,close,109670,씨싸이트,2023-12-21,2024-01-05,ipo_price_missing_for_prev_filter,20231216,20240214,,,,,,,,
15D_close_midhold,15D,close,017860,DS단석,2023-12-22,2024-01-06,prev_close_vs_ipo_below_min,20231217,20240215,0.86356,2.0,,,,,,
15D_close_midhold,15D,close,022100,포스코DX,2024-01-02,2024-01-17,ipo_price_missing_for_prev_filter,20231228,20240226,,,,,,,,
