name,name_key,symbol,listing_date,ipo_price,market,lead_manager,listed_shares,ipo_price_source
DS단석,ds단석,017860,2023-12-22,100000.0,유가,"엔에이치투자증권(주),KB증권(주)",,kind
포스코DX,포스코dx,022100,2024-01-02,0.0,유가,KB증권(주),,kind
한빛레이저,한빛레이저,452190,2024-01-04,,코스닥,nan,,
세븐브로이맥주,세븐브로이맥주,267080,2024-01-17,,코넥스,키움증권(주),,
우진엔텍,우진엔텍,457550,2024-01-24,5300.0,코스닥,KB증권(주),,38
HB인베스트먼트,hb인베스트먼트,440290,2024-01-25,3400.0,코스닥,엔에이치투자증권(주),,kind
드림인사이트,드림인사이트,362990,2024-01-25,,코스닥,nan,,
현대힘스,현대힘스,460930,2024-01-26,7300.0,코스닥,미래에셋증권 주식회사,,38
엘앤에프,엘앤에프,066970,2024-01-29,0.0,유가,미래에셋증권 주식회사,,kind
포스뱅크,포스뱅크,105760,2024-01-29,18000.0,코스닥,하나증권주식회사,,38
레이저옵텍,레이저옵텍,199550,2024-02-01,,코스닥,nan,,
이닉스,이닉스,452400,2024-02-01,14000.0,코스닥,삼성증권(주),,38
폰드그룹,폰드그룹,472850,2024-02-02,,코스닥,엔에이치투자증권(주),,
스튜디오삼익,스튜디오삼익,415380,2024-02-06,18000.0,코스닥,DB증권주식회사,,38
에스피소프트,에스피소프트,443670,2024-02-15,,코스닥,nan,,
사피엔반도체,사피엔반도체,452430,2024-02-19,,코스닥,nan,,
케이웨더,케이웨더,068100,2024-02-22,7000.0,코스닥,엔에이치투자증권(주),,38
E8,e8,418620,2024-02-23,,코스닥,nan,,
코셈,코셈,360350,2024-02-23,16000.0,코스닥,키움증권(주),,38
에이피알,에이피알,278470,2024-02-27,250000.0,유가,"신한투자증권 주식회사,하나증권주식회사",,38
케이엔알시스템,케이엔알시스템,199430,2024-03-07,13500.0,코스닥,"엔에이치투자증권(주),DB증권주식회사",,38
오상헬스케어,오상헬스케어,036220,2024-03-13,20000.0,코스닥,엔에이치투자증권(주),,38
삼현,삼현,437730,2024-03-21,30000.0,코스닥,한국투자증권(주),,38
제이투케이바이오,제이투케이바이오,420570,2024-03-25,,코스닥,nan,,
엔젤로보틱스,엔젤로보틱스,455900,2024-03-26,20000.0,코스닥,엔에이치투자증권(주),,38
SK이터닉스,sk이터닉스,475150,2024-03-29,,유가,엔에이치투자증권(주),,
아이엠비디엑스,아이엠비디엑스,461030,2024-04-03,13000.0,코스닥,미래에셋증권 주식회사,,38
삐아,삐아,451250,2024-04-25,,코스닥,nan,,
제일엠앤에스,제일엠앤에스,412540,2024-04-30,22000.0,코스닥,KB증권(주),,38
디앤디파마텍,디앤디파마텍,347850,2024-05-02,33000.0,코스닥,한국투자증권(주),,38
민테크,민테크,452200,2024-05-03,10500.0,코스닥,KB증권(주),,38
카티스,카티스,140430,2024-05-03,,코스닥,nan,,
코칩,코칩,126730,2024-05-07,18000.0,코스닥,한국투자증권(주),,38
HD현대마린솔루션,hd현대마린솔루션,443060,2024-05-08,83400.0,유가,"신한투자증권 주식회사,하나증권주식회사,유비에스증권 리미티드 서울지점,CS증권 서울지점,제이피모간증권회사 서울지점,KB증권(주)",,38
아이씨티케이,아이씨티케이,456010,2024-05-17,20000.0,코스닥,엔에이치투자증권(주),,38
노브랜드,노브랜드,145170,2024-05-23,14000.0,코스닥,삼성증권(주),,38
다원넥스뷰,다원넥스뷰,323350,2024-06-11,,코스닥,nan,,
그리드위즈,그리드위즈,453450,2024-06-14,40000.0,코스닥,삼성증권(주),,38
라메디텍,라메디텍,462510,2024-06-17,16000.0,코스닥,대신증권(주),,38
씨어스테크놀로지,씨어스테크놀로지,458870,2024-06-19,17000.0,코스닥,한국투자증권(주),,38
파라다이스,파라다이스,034230,2024-06-24,0.0,유가,신한투자증권 주식회사,,kind
한중엔시에스,한중엔시에스,107640,2024-06-24,30000.0,코스닥,IBK투자증권(주),,38
에스오에스랩,에스오에스랩,464080,2024-06-25,11500.0,코스닥,한국투자증권(주),,38
하이젠알앤엠,하이젠알앤엠,160190,2024-06-27,7000.0,코스닥,한국투자증권(주),,38
에이치브이엠,에이치브이엠,295310,2024-06-28,18000.0,코스닥,엔에이치투자증권(주),,38
팡스카이,팡스카이,266350,2024-06-28,,코넥스,키움증권(주),,
신한글로벌액티브리츠,신한글로벌액티브리츠,481850,2024-07-01,3000.0,유가,"신한투자증권 주식회사,한국투자증권(주)",,38
이노스페이스,이노스페이스,462350,2024-07-02,43300.0,코스닥,미래에셋증권 주식회사,,38
하스,하스,450330,2024-07-03,16000.0,코스닥,삼성증권(주),,38
시프트업,시프트업,462870,2024-07-11,60000.0,유가,"한국투자증권(주),제이피모간증권회사 서울지점,엔에이치투자증권(주)",,38
엑셀세라퓨틱스,엑셀세라퓨틱스,373110,2024-07-15,10000.0,코스닥,대신증권(주),,38
HS효성,hs효성,487570,2024-07-29,,유가,nan,,
산일전기,산일전기,062040,2024-07-29,35000.0,유가,미래에셋증권 주식회사,,38
