name_key,release_date,market,name,release_shares,remaining_locked_shares,source,source_detail,last_refresh_ts
큐라티스,2026-04-01,코스닥,큐라티스,15900000.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
아이로보틱스,2026-04-02,코스닥,아이로보틱스,2000000.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
크레오에스지,2026-04-02,코스닥,크레오에스지,999999.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
아이엠비디엑스,2026-04-03,코스닥,아이엠비디엑스,2775000.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
나인테크,2026-04-06,코스닥,나인테크,1377410.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
서울무비,2026-04-06,비상장,서울무비,3204000.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
실리콘투,2026-04-06,비상장,실리콘투,4404344.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
한국피아이엠,2026-04-06,코스닥,한국피아이엠,3234081.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
알엔투테크놀로지,2026-04-07,코스닥,알엔투테크놀로지,1767304.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
제이케이시냅스,2026-04-07,코스닥,제이케이시냅스,5464480.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
박셀바이오,2026-04-08,코스닥,박셀바이오,264140.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
셀루메드,2026-04-08,코스닥,셀루메드,3441157.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
액스비스,2026-04-09,코스닥,액스비스,636230.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
인벤티지랩,2026-04-10,코스닥,인벤티지랩,570125.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
카이노스메드,2026-04-10,코스닥,카이노스메드,4906160.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
보유,2026-04-13,비상장,보유,1000.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
빛과전자,2026-04-13,코스닥,빛과전자,10000.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
아이톡시,2026-04-13,코스닥,아이톡시,850339.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
에이치엘비펩,2026-04-13,코스닥,에이치엘비펩,3290011.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
코어라인소프트,2026-04-13,비상장,코어라인소프트,429293.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
플렉스엠앤오,2026-04-13,비상장,플렉스엠앤오,1400.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
노브메타파마,2026-04-14,코넥스,노브메타파마,815216.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
에코프로머티리얼즈,2026-04-14,비상장,에코프로머티리얼즈,5120167.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
엔비알모션,2026-04-14,코스닥,엔비알모션,1045753.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
엣지파운드리,2026-04-14,코스닥,엣지파운드리,13478996.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
이노스페이스,2026-04-14,비상장,이노스페이스,1468934.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
제이케이시냅스,2026-04-14,코스닥,제이케이시냅스,2185790.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
지에프아이,2026-04-14,코스닥,지에프아이,639125.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
콘티,2026-04-14,비상장,콘티,26959.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
풍전약품,2026-04-14,코스닥,풍전약품,7272727.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
테라젠이텍스,2026-04-15,코스닥,테라젠이텍스,4677941.0,0.0,Seibro,https://m.seibro.or.kr/cnts/company/selectRelease.do,2026-04-16
