ipo_id,name,name_key,symbol,market,listing_date,notes,source,source_detail,last_refresh_ts
krx_dl,DL,dl,000210,유가증권,,디엘 주식회사,공공데이터-KRX상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-17
krx_유유제약,유유제약,유유제약,000220,유가증권,,(주)유유제약,공공데이터-KRX상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-17
krx_일동홀딩스,일동홀딩스,일동홀딩스,000230,유가증권,,일동홀딩스(주),공공데이터-KRX상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-17
krx_한국앤컴퍼니,한국앤컴퍼니,한국앤컴퍼니,000240,유가증권,,한국앤컴퍼니(주),공공데이터-KRX상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-17
krx_삼천당제약,삼천당제약,삼천당제약,000250,코스닥,,삼천당제약(주),공공데이터-KRX상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-17
krx_기아,기아,기아,000270,유가증권,,기아(주),공공데이터-KRX상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-17
krx_dh오토넥스,DH오토넥스,dh오토넥스,000300,유가증권,,(주)디에이치오토넥스,공공데이터-KRX상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-17
krx_노루홀딩스,노루홀딩스,노루홀딩스,000320,유가증권,,(주)노루홀딩스,공공데이터-KRX상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-17
krx_한화손해보험,한화손해보험,한화손해보험,000370,유가증권,,한화손해보험(주),공공데이터-KRX상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-17
krx_삼화페인트,삼화페인트,삼화페인트,000390,유가증권,,삼화페인트공업(주),공공데이터-KRX상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-17
