symbol,current_price,ma20,ma60,rsi14,signal,asof
397810,7020.0,6886.5,5510.333333333333,51.04166666666667,상승추세,2026-09-04
403810,2370.0,2323.5,2211.7166666666667,55.99999999999999,상승추세,2026-09-04
403850,12870.0,11933.5,11238.833333333334,62.03866432337434,상승추세,2026-09-04
424870,2840.0,3074.25,3209.5833333333335,28.640776699029132,약세추세,2026-09-04
432980,2555.0,2614.5,2754.5,41.95804195804196,약세추세,2026-09-04
435570,7190.0,7078.5,6836.333333333333,52.34374999999999,상승추세,2026-09-04
439260,46500.0,49412.5,50937.5,21.917808219178085,약세추세,2026-09-04
444530,4565.0,4634.25,4994.25,41.92307692307692,약세추세,2026-09-04
448900,49350.0,56015.0,57420.0,19.607843137254903,약세추세,2026-09-04
450950,5120.0,5559.5,6171.333333333333,22.807017543859644,약세추세,2026-09-04
452450,3600.0,3324.75,3408.4166666666665,57.33944954128441,중립,2026-09-04
455180,1313.0,1428.7,1522.1666666666667,34.17721518987341,약세추세,2026-09-04
456160,36200.0,40002.5,37280.833333333336,34.00809716599191,중립,2026-09-04
459510,14850.0,15756.5,15061.166666666666,29.44693572496263,과매도권,2026-09-04
459550,2600.0,2249.1,1636.5666666666666,50.54896794027229,상승추세,2026-09-04
460870,2920.0,2901.25,2562.766666666667,48.21428571428571,중립,2026-09-04
462310,3875.0,3925.5,3577.0,50.862068965517246,중립,2026-09-04
462860,3495.0,2585.05,2230.9166666666665,85.74938574938575,과열권,2026-09-04
462980,1543.0,1485.3,1426.2666666666667,57.39130434782609,상승추세,2026-09-04
463020,8530.0,9596.0,8463.5,31.25,중립,2026-09-04
463480,4005.0,4082.25,4319.416666666667,38.775510204081634,약세추세,2026-09-04
464490,4900.0,5439.5,5892.333333333333,26.633165829145725,약세추세,2026-09-04
466690,1994.0,2006.5,2005.4333333333334,47.78761061946903,중립,2026-09-04
468530,30450.0,33485.0,28567.0,34.689507494646676,중립,2026-09-04
469610,15030.0,15550.0,14405.666666666666,31.539424280350445,중립,2026-09-04
474650,23650.0,24602.5,26418.333333333332,37.71626297577855,약세추세,2026-09-04
475040,2830.0,3112.0,,27.227722772277232,데이터부족,2026-09-04
475230,9770.0,9251.5,8385.666666666666,62.546816479400746,상승추세,2026-09-04
475430,4195.0,4380.0,4640.083333333333,31.372549019607845,약세추세,2026-09-04
475460,7890.0,6481.5,6039.666666666667,80.15873015873015,과열권,2026-09-04
475830,55600.0,65410.0,56925.0,36.897274633123686,중립,2026-09-04
476040,6450.0,7471.5,8490.166666666666,13.52459016393442,약세추세,2026-09-04
476830,26750.0,31817.5,34400.833333333336,31.914893617021278,약세추세,2026-09-04
478340,9910.0,10596.0,12257.5,23.677581863979853,약세추세,2026-09-04
478560,3185.0,2933.5,2734.3333333333335,66.66666666666666,상승추세,2026-09-04
479960,6030.0,6171.5,6303.333333333333,27.5,약세추세,2026-09-04
480020,10380.0,10489.9,10927.716666666667,35.042735042735046,약세추세,2026-09-04
480030,9870.0,10059.65,10468.683333333332,21.556886227544908,약세추세,2026-09-04
480040,13880.0,14745.05,16748.066666666666,19.82905982905983,약세추세,2026-09-04
480370,1441.0,1418.4,1362.8666666666666,48.18763326226013,중립,2026-09-04
481070,17700.0,18534.0,16334.333333333334,39.675383228133455,중립,2026-09-04
482630,12490.0,13604.0,14415.333333333334,24.276169265033403,약세추세,2026-09-04
483650,193500.0,225075.0,222820.0,32.67326732673267,중립,2026-09-04
484120,21200.0,19472.0,17286.833333333332,50.50403225806452,상승추세,2026-09-04
484590,6680.0,6509.0,6717.0,49.609375,중립,2026-09-04
484810,14930.0,15149.0,12748.333333333334,37.59689922480621,중립,2026-09-04
486990,17660.0,19297.5,20189.166666666668,21.885521885521882,약세추세,2026-09-04
488280,9560.0,10473.5,11078.5,32.752613240418114,약세추세,2026-09-04
488900,9230.0,9987.0,8995.333333333334,20.125786163522008,과매도권,2026-09-04
489460,11060.0,11382.5,8698.166666666666,37.687366167023555,중립,2026-09-04
