market_code,symbol,name,name_key,market,listing_status,delisting_date,source,source_detail,last_refresh_ts
11,000230,일동홀딩스,일동홀딩스,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000240,한국앤컴퍼니,한국앤컴퍼니,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
12,000250,삼천당제약,삼천당제약,코스닥,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000270,기아,기아,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000300,DH오토넥스,dh오토넥스,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000320,노루홀딩스,노루홀딩스,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000370,한화손해보험,한화손해보험,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000390,삼화페인트,삼화페인트,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000400,롯데손해보험,롯데손해보험,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000430,대원강업,대원강업,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
12,000440,중앙에너비스,중앙에너비스,코스닥,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000480,CR홀딩스,cr홀딩스,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000490,대동,대동,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000500,가온전선,가온전선,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000520,삼일제약,삼일제약,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000540,흥국화재,흥국화재,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000590,CS홀딩스,cs홀딩스,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000640,동아쏘시오홀딩스,동아쏘시오홀딩스,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000650,천일고속,천일고속,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000660,SK하이닉스,sk하이닉스,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000670,영풍,영풍,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000680,LS네트웍스,ls네트웍스,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000700,유수홀딩스,유수홀딩스,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000720,현대건설,현대건설,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000760,이화산업,이화산업,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000810,삼성화재,삼성화재,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000850,화천기공,화천기공,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000860,강남제비스코,강남제비스코,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000880,한화,한화,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000890,보해양조,보해양조,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000910,유니온,유니온,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000950,전방,전방,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000970,한국주철관,한국주철관,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,000990,DB하이텍,db하이텍,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
12,001000,신라섬유,신라섬유,코스닥,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001020,페이퍼코리아,페이퍼코리아,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001040,CJ,cj,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001060,JW중외제약,jw중외제약,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001070,대한방직,대한방직,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001080,만호제강,만호제강,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001120,LX인터내셔널,lx인터내셔널,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001130,대한제분,대한제분,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001200,유진투자증권,유진투자증권,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001210,금호전기,금호전기,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001230,동국홀딩스,동국홀딩스,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001250,GS글로벌,gs글로벌,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001260,남광토건,남광토건,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001270,부국증권,부국증권,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001290,상상인증권,상상인증권,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001340,PKC,pkc,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001360,삼성제약,삼성제약,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001380,SG글로벌,sg글로벌,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001390,KG케미칼,kg케미칼,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001420,태원물산,태원물산,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001430,세아베스틸지주,세아베스틸지주,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001440,대한전선,대한전선,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001450,현대해상,현대해상,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
11,001460,BYC,byc,유가증권,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260416,2026-04-18
