year,strategy_name,term,entry_mode,hold_days_after_entry,trades,win_rate,avg_ret,median_ret,sum_ret,compound_ret,min_ret,max_ret
2023,15D_close_midhold,15D,close,5,12,25.0,-10.77,-13.83,-129.23,-76.82,-25.53,15.72
2023,1M_close_midhold,1M,close,21,8,37.5,-8.4,-19.62,-67.22,-69.18,-42.34,73.61
2023,3M_close_midhold,3M,close,32,1,100.0,28.71,28.71,28.71,28.71,28.71,28.71
2024,15D_close_midhold,15D,close,5,15,33.33,-5.82,-8.17,-87.28,-61.87,-24.44,7.52
2024,1M_close_midhold,1M,close,21,12,25.0,-11.28,-11.66,-135.32,-81.14,-38.45,18.05
2024,1Y_close_midhold,1Y,close,126,6,16.67,-19.67,-19.94,-118.02,-77.41,-48.82,8.01
2024,3M_close_midhold,3M,close,32,12,41.67,-2.72,-4.6,-32.61,-48.92,-36.66,38.35
2024,6M_close_midhold,6M,close,63,15,26.67,-7.51,-15.38,-112.6,-89.69,-49.09,109.62
2025,15D_close_midhold,15D,close,5,31,45.16,-0.69,-3.63,-21.31,-45.91,-33.09,38.4
2025,1M_close_midhold,1M,close,21,25,44.0,0.16,-1.27,4.12,-41.01,-33.56,71.12
2025,1Y_close_midhold,1Y,close,126,8,100.0,39.68,27.45,317.44,997.85,6.83,141.04
2025,3M_close_midhold,3M,close,32,22,54.55,9.62,2.61,211.73,202.09,-42.13,81.81
2025,6M_close_midhold,6M,close,63,19,52.63,17.41,1.16,330.83,549.69,-31.07,161.6
2026,15D_close_midhold,15D,close,5,2,100.0,19.15,19.15,38.29,40.99,9.32,28.97
2026,1M_close_midhold,1M,close,21,2,50.0,16.84,16.84,33.68,24.92,-17.22,50.91
