year,strategy_name,term,entry_mode,hold_days_after_entry,trades,win_rate,avg_ret,median_ret,sum_ret,compound_ret,min_ret,max_ret
2023,15D_close_midhold,15D,close,5,6,0.5,-0.051208794346631524,-0.04684308830948081,-0.30725276607978913,-0.3143801469576697,-0.2552879568064792,0.15719269880813092
2023,1M_close_midhold,1M,close,21,3,0.3333333333333333,-0.23238407065779876,-0.2878110985710334,-0.6971522119733963,-0.5835897148696071,-0.4234355954741834,0.014094482071820513
2024,15D_close_midhold,15D,close,5,5,0.2,-0.09543686530633914,-0.08365290979239559,-0.47718432653169573,-0.411556620295755,-0.24442658902369463,0.015446003257614027
2024,1M_close_midhold,1M,close,21,5,0.4,-0.09837701072031582,-0.10257742509107115,-0.4918850536015791,-0.48306869634371297,-0.3488692485600845,0.18050879324623037
2024,1Y_close_midhold,1Y,close,126,3,0.0,-0.2575159361460167,-0.2453901359240559,-0.77254780843805,-0.628846373605382,-0.48822915864422145,-0.038928513869772696
2024,3M_close_midhold,3M,close,32,6,0.3333333333333333,-0.0307036954646376,-0.10222450269079758,-0.1842221727878256,-0.3224208781771045,-0.36659855499287053,0.3835017373293286
2024,6M_close_midhold,6M,close,63,6,0.16666666666666666,-0.2178973617622788,-0.26450230597229624,-1.3073841705736728,-0.8090365125722934,-0.4176832444937878,0.06848765188568429
2025,15D_close_midhold,15D,close,5,13,0.6153846153846154,0.043403419492414434,0.005181761568116006,0.5642444534013876,0.4179012494080958,-0.2478303719126147,0.3839599513120808
2025,1M_close_midhold,1M,close,21,10,0.3,-0.07869001122220555,-0.10693742010879043,-0.7869001122220555,-0.6560240060667417,-0.33563271960818786,0.269133527029769
2025,1Y_close_midhold,1Y,close,126,5,1.0,0.22968111406832342,0.14591746936407413,1.1484055703416172,1.6673686899686535,0.06831797371954984,0.5621886980110877
2025,3M_close_midhold,3M,close,32,7,0.42857142857142855,0.11499992188754968,-0.010648611913233963,0.8049994532128477,0.42574795823332656,-0.42127528378074675,0.6792280453706592
2025,6M_close_midhold,6M,close,63,10,0.6,0.3439144048215701,0.37317753100535844,3.439144048215701,7.568979219729227,-0.31074049830025496,1.6160316458860282
2026,15D_close_midhold,15D,close,5,1,1.0,0.2896939792364479,0.2896939792364479,0.2896939792364479,0.2896939792364479,0.2896939792364479,0.2896939792364479
2026,1M_close_midhold,1M,close,21,1,0.0,-0.17221104713080926,-0.17221104713080926,-0.17221104713080926,-0.17221104713080926,-0.17221104713080926,-0.17221104713080926
