year,strategy_name,term,entry_mode,hold_days_after_entry,trades,win_rate,avg_ret,median_ret,sum_ret,compound_ret,min_ret,max_ret
2023,15D_close_midhold,15D,close,5,28,0.35714285714285715,-0.030260419757259207,-0.07075278579834471,-0.8472917532032578,-0.7245940598280838,-0.2552879568064792,0.5619613007676192
2023,1M_close_midhold,1M,close,21,24,0.4583333333333333,0.013432030017480496,-0.024555927676104372,0.3223687204195319,-0.42654728440106693,-0.4234355954741834,0.7361473521250832
2023,3M_close_midhold,3M,close,32,4,0.5,0.22347442714245314,0.05332898267678654,0.8938977085698125,0.5261602491899697,-0.3102318602826861,1.0974716034989256
2024,15D_close_midhold,15D,close,5,31,0.25806451612903225,-0.0677690456997967,-0.08365290979239559,-2.100840416693698,-0.8985580185550744,-0.24442658902369463,0.07521398713269933
2024,1M_close_midhold,1M,close,21,24,0.16666666666666666,-0.1530122991684596,-0.1796374531844946,-3.6722951800430303,-0.9878795570642902,-0.3944147992375837,0.18050879324623037
2024,1Y_close_midhold,1Y,close,126,11,0.2727272727272727,-0.11980846808918866,-0.1533152072643651,-1.3178931489810752,-0.8219984971504253,-0.48822915864422145,0.3122557728526407
2024,3M_close_midhold,3M,close,32,30,0.4666666666666667,0.02156696552744374,-0.020415802322964915,0.6470089658233121,-0.20329135967659906,-0.36659855499287053,0.5778715917673176
2024,6M_close_midhold,6M,close,63,30,0.3333333333333333,-0.05538260582158254,-0.15571380053581885,-1.6614781746474763,-0.9744717298868041,-0.49093166884198325,1.0961707324471877
2025,15D_close_midhold,15D,close,5,44,0.4090909090909091,-0.014404973966201358,-0.054407272077505286,-0.6338188545128598,-0.685617787062365,-0.33094729954367685,0.3839599513120808
2025,1M_close_midhold,1M,close,21,42,0.5238095238095238,0.12214348620140167,0.01234228966290285,5.13002642045887,16.539403067904708,-0.33563271960818786,1.5940208968654703
2025,1Y_close_midhold,1Y,close,126,11,0.9090909090909091,0.7175847914217609,0.25433424870662447,7.89343270563937,60.631171952646326,-0.06598265579312046,4.737386824739125
2025,3M_close_midhold,3M,close,32,41,0.5609756097560976,0.050920051390462816,0.02057530876541347,2.0877221070089753,0.7612219661912647,-0.42127528378074675,0.8180770330824225
2025,6M_close_midhold,6M,close,63,36,0.4166666666666667,0.09925645468148307,-0.05564423006614788,3.5732323685333904,3.097558533622074,-0.3303519555023007,1.6160316458860282
2026,15D_close_midhold,15D,close,5,3,0.6666666666666666,0.11777943381261717,0.09322484606032488,0.3533383014378515,0.36821916696697476,-0.029580523858921293,0.2896939792364479
2026,1M_close_midhold,1M,close,21,6,0.5,0.03250492957593948,-0.016659428058391157,0.19502957745563687,0.035235414136812304,-0.21609258611208326,0.5090565106041891
2026,3M_close_midhold,3M,close,32,1,1.0,0.002559275199629063,0.002559275199629063,0.002559275199629063,0.002559275199629063,0.002559275199629063,0.002559275199629063
